Date,Open,High,Low,Close,Adj Close,Volume
2005-04-08,1003.450012,1003.450012,1003.450012,1003.450012,1003.450012,0
2005-04-11,995.421021,995.421021,995.421021,995.421021,995.421021,0
2005-04-12,978.697021,978.697021,978.697021,978.697021,978.697021,0
2005-04-13,1000.900024,1000.900024,1000.900024,1000.900024,1000.900024,0
2005-04-14,986.974976,986.974976,986.974976,986.974976,986.974976,0
2005-04-15,974.081970,974.081970,974.081970,974.081970,974.081970,0
2005-04-18,963.771973,963.771973,963.771973,963.771973,963.771973,0
2005-04-19,965.885986,965.885986,965.885986,965.885986,965.885986,0
2005-04-20,950.867004,950.867004,950.867004,950.867004,950.867004,0
2005-04-21,943.981018,943.981018,943.981018,943.981018,943.981018,0
2005-04-22,939.101013,939.101013,939.101013,939.101013,939.101013,0
2005-04-25,930.070007,930.070007,930.070007,930.070007,930.070007,0
2005-04-26,937.083008,937.083008,937.083008,937.083008,937.083008,0
2005-04-27,926.604004,926.604004,926.604004,926.604004,926.604004,0
2005-04-28,942.072998,942.072998,942.072998,942.072998,942.072998,0
2005-04-29,932.395020,932.395020,932.395020,932.395020,932.395020,0
2005-05-02,928.5248518333334,928.5248518333334,928.5248518333334,928.5248518333334,928.5248518333334,0.0
2005-05-03,924.6546836666666,924.6546836666666,924.6546836666666,924.6546836666666,924.6546836666666,0.0
2005-05-04,920.7845155,920.7845155,920.7845155,920.7845155,920.7845155,0.0
2005-05-05,916.9143473333334,916.9143473333334,916.9143473333334,916.9143473333334,916.9143473333334,0.0
2005-05-06,913.0441791666666,913.0441791666666,913.0441791666666,913.0441791666666,913.0441791666666,0.0
2005-05-09,909.174011,909.174011,909.174011,909.174011,909.174011,0
2005-05-10,913.075989,913.075989,913.075989,913.075989,913.075989,0
2005-05-11,901.851013,901.851013,901.851013,901.851013,901.851013,0
2005-05-12,885.820007,885.820007,885.820007,885.820007,885.820007,0
2005-05-13,887.543030,887.543030,887.543030,887.543030,887.543030,0
2005-05-16,875.270996,875.270996,875.270996,875.270996,875.270996,0
2005-05-17,881.461975,881.461975,881.461975,881.461975,881.461975,0
2005-05-18,883.195984,883.195984,883.195984,883.195984,883.195984,0
2005-05-19,884.171021,884.171021,884.171021,884.171021,884.171021,0
2005-05-20,882.763000,882.763000,882.763000,882.763000,882.763000,0
2005-05-23,863.341003,863.341003,863.341003,863.341003,863.341003,0
2005-05-24,868.455994,868.455994,868.455994,868.455994,868.455994,0
2005-05-25,868.450989,868.450989,868.450989,868.450989,868.450989,0
2005-05-26,857.330994,857.330994,857.330994,857.330994,857.330994,0
2005-05-27,849.507996,849.507996,849.507996,849.507996,849.507996,0
2005-05-30,855.612000,855.612000,855.612000,855.612000,855.612000,0
2005-05-31,855.945984,855.945984,855.945984,855.945984,855.945984,0
2005-06-01,837.531982,837.531982,837.531982,837.531982,837.531982,0
2005-06-02,818.379028,818.379028,818.379028,818.379028,818.379028,0
2005-06-03,818.033020,818.033020,818.033020,818.033020,818.033020,0
2005-06-06,838.997009,838.997009,838.997009,838.997009,838.997009,0
